xls,site_name,proxy,doi,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,modern_latitude,modern_longitude
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,163.93,,,202.49,8.37,7.92,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,198.46,,,224.44,8.21,9.26,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,212.49,,,243.43,9.05,9.34,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,243.96,,,204.53,9.84,7.95,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,246.94,,,191.24,10.92,9.73,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,252.53,,,238.86,11.52,7.08,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,254.81,,,188.81,9.5,8.38,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,259.28,,,235.25,13.51,8.65,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,266.6,,,188.04,5.67,11.49,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,297.04,,,224.52,6.93,12.87,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,316,,,265.72,15.46,10.07,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,329.52,,,230.18,11.82,8.82,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,360.18,,,196.64,8.73,8.1,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,366.82,,,206.67,7.6,12.82,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,373.6,,,274.59,14.9,9.68,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,379.26,,,217.56,10.46,7.49,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,423.56,,,270.49,20.23,13.4,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,426.1,,,210.27,14.45,10.6,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,529.43,,,239.13,11.85,9.53,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,541.26,,,219.1,9.33,7.77,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,581.2,,,274.76,13.46,9.98,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,588.33,,,227.16,10.56,8.84,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,613.16,,,247.32,8.78,11.96,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,616.96,,,254.89,12.28,9.79,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,635.5,,,203.15,13.75,10.39,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,670.1,,,223.84,11.39,9.79,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,700.1,,,250.3,10.14,8.75,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,710.1,,,233.13,10.68,9.33,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,720.1,,,211.5,12.05,9.74,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,728,,,214.48,10.34,8.96,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,784.87,,,228.31,10.91,8.8,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,800.95,,,232.87,11.83,10.36,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,849.84,,,268.26,13.82,11.52,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,859.88,,,265.55,14.21,11.96,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,863.91,,,273.7,15.8,13.06,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,872.5,,,305.36,23.23,18.33,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,885.77,,,223.08,14.37,12.79,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,903.54,,,181.68,10.98,8.06,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,922.77,,,246.17,16.22,14.52,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,932.51,,,232.48,12.24,11.36,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,941.81,,,255.27,14.34,12.83,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,949.65,,,258.34,9.3,10.71,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,953.2,,,229.25,11.96,10.75,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,961.49,,,295.67,18.38,15.39,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,970.08,,,252.62,10.59,10.38,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,980.92,,,259.77,15.56,14.2,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1012.33,,,209.24,9.05,11.28,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1032.93,,,280.41,17.54,15.16,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1060.14,,,261.47,13.34,11.75,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1079.39,,,255.73,11.62,10.98,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1093.39,,,269.36,14.47,12.82,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1108.19,,,263.05,16.16,14.07,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1113.21,,,255.17,13.87,12.72,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1138.6,,,280.43,28.89,22.99,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1158.43,,,244.18,12.62,11.49,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1172.41,,,256.9,11.06,10.19,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1183.97,,,258.79,13.06,11.7,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1220.05,,,292.76,21.49,17.29,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1236.24,,,260.83,15.47,13.49,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
